Ozone,Nitric oxide,Nitrogen dioxide,Nitrogen oxides as nitrogen dioxide,Sulphur dioxide
25,1,28,30,3
33,1,14,15,3
22,1,23,24,3
17,5,35,43,4
44,0,15,15,1
61,1,5,6,1
53,1,7,8,3
37,1,13,14,2
37,1,14,15,3
19,8,32,44,4
33,1,19,21,4
40,3,20,24,1
45,2,18,20,2
54,1,10,11,2
57,0,5,5,1
59,1,4,5,0
48,2,22,25,4
28,3,28,33,5
57,1,10,11,1
42,1,18,19,2
13,5,34,42,4
10,3,32,36,6
13,2,30,34,4
23,1,22,23,4
46,1,12,14,3
46,1,17,18,2
36,1,18,20,3
35,1,16,18,3
52,1,6,7,2
53,1,9,10,14
35,8,21,33,15
14,31,35,82,6
9,5,37,44,11
13,5,26,34,5
50,0,6,7,1
57,0,1,1,0
38,1,11,13,1
46,0,8,9,1
12,12,32,51,23
26,9,13,28,4
13,13,28,48,24
14,18,18,45,17
16,9,21,34,9
17,8,22,35,7
42,7,11,22,3
49,11,11,28,3
32,4,18,25,4
36,3,25,29,2
36,1,24,26,3
48,2,15,19,3
41,1,18,20,5
27,15,29,52,6
29,6,35,45,3
43,1,29,31,3
56,1,7,9,1
25,18,22,50,9
17,18,35,62,10
26,2,21,24,3
28,2,28,32,7
47,3,12,16,1
47,4,9,15,3
29,1,21,23,3
30,3,20,24,5
17,15,32,55,16
31,9,24,38,5
60,7,9,19,2
31,5,22,30,3
35,3,21,25,3
58,2,7,10,1
48,3,12,17,10
26,2,18,21,16
26,3,18,22,3
42,1,8,9,1
33,2,16,19,6
31,2,17,19,6
44,1,12,14,4
33,11,15,32,5
30,3,17,22,11
48,0,9,9,1
52,1,8,9,0
37,3,16,20,2
37,3,24,29,5
44,1,15,17,2
40,3,17,21,6
51,1,16,17,1
50,3,13,17,1
54,1,14,16,8
68,0,12,12,2
69,0,6,6,0
69,0,4,4,1
56,0,6,7,15
60,4,7,13,2
50,7,13,24,1
63,0,9,9,1
51,1,15,16,5
66,0,9,9,4
74,0,8,8,12
66,0,8,8,1
47,1,13,14,1
43,2,18,21,4
62,2,20,23,8
45,1,15,16,1
44,1,14,16,1
58,0,8,8,1
58,0,8,8,0
46,1,14,16,1
44,1,16,18,1
61,1,12,14,2
82,0,3,3,0
82,0,4,4,0
82,0,4,4,0
82,0,2,2,0
51,1,9,10,8
49,1,12,14,1
62,1,8,9,1
55,1,10,11,0
50,2,21,24,6
69,1,18,20,4
50,1,11,13,3
65,0,7,7,0
66,1,7,9,1
71,2,11,13,2
47,2,14,17,3
54,1,14,15,4
70,0,9,10,2
79,0,7,7,1
72,0,10,10,1
74,1,8,9,1
71,1,9,10,2
58,0,6,6,1
57,1,8,9,6
55,0,9,10,6
48,1,8,8,3
44,0,7,7,1
52,1,6,6,2
48,0,7,7,2
51,0,7,7,3
52,1,13,14,3
67,2,12,14,2
68,0,8,8,2
56,1,12,14,2
59,1,11,12,0
65,1,9,10,0
52,0,6,6,0
58,0,6,7,0
62,0,12,13,2
56,0,6,6,0
50,1,10,11,1
44,1,7,8,0
40,1,11,12,0
37,1,8,9,1
40,1,10,12,4
38,1,13,14,3
38,1,9,10,1
22,2,14,18,1
30,2,13,17,1
69,1,15,16,3
74,0,8,8,1
47,0,8,8,1
31,1,12,13,1
49,0,10,10,1
41,1,9,10,1
45,1,12,13,1
47,0,6,7,0
39,1,6,7,2
34,1,11,12,2
37,2,12,15,5
51,1,4,5,2
53,0,2,2,1
48,1,9,10,9
36,1,8,10,7
34,0,5,5,2
32,1,7,8,2
42,1,4,6,4
36,1,11,12,4
31,1,10,12,4
49,1,10,11,10
41,0,7,7,2
27,0,5,5,1
46,0,6,7,1
40,0,8,9,3
40,0,9,10,2
36,1,12,14,5
32,1,13,15,1
45,1,4,5,1
44,1,10,12,2
42,2,13,16,2
47,1,9,10,3
43,1,7,8,3
46,1,7,7,3
50,2,6,9,2
55,1,15,16,2
44,1,11,12,1
35,1,10,12,2
33,1,8,9,1
36,1,7,8,1
37,2,10,13,1
39,2,9,13,1
42,1,6,7,1
33,2,18,21,2
40,1,7,9,3
39,2,12,14,3
47,2,14,17,5
45,3,15,19,4
54,2,10,13,4
64,1,4,5,2
82,1,13,15,5
69,1,16,18,7
45,1,12,13,2
48,1,9,10,2
54,1,11,12,3
45,1,11,12,4
51,3,13,17,3
45,1,10,12,2
41,2,12,14,8
52,5,21,28,5
42,1,11,13,4
50,1,6,7,2
48,1,7,9,2
33,1,10,12,2
40,3,10,15,3
41,4,17,23,7
41,1,7,8,2
44,2,9,11,7
41,2,12,15,8
26,5,16,24,12
38,1,7,8,2
61,1,8,9,3
42,2,31,34,5
44,5,19,27,6
54,1,18,20,11
37,10,21,36,5
46,1,13,14,2
50,1,13,15,3
50,1,17,18,1
51,1,13,14,1
44,1,11,12,1
51,0,9,9,1
46,0,11,12,2
46,0,9,10,2
48,1,8,9,3
49,1,11,13,3
38,2,14,16,2
54,1,8,9,1
28,4,16,22,11
13,12,30,48,4
23,2,15,18,2
38,1,10,11,2
54,1,11,12,2
55,1,8,10,2
38,3,20,25,4
36,3,21,26,7
48,0,6,6,3
44,5,12,19,5
24,4,21,28,4
38,4,11,17,3
27,7,16,27,5
18,12,19,37,4
52,2,6,8,4
30,5,18,26,5
28,4,22,28,5
36,3,18,21,5
50,1,11,12,1
48,1,13,14,2
43,1,13,14,3
65,1,5,6,2
38,2,15,18,4
49,0,6,6,4
63,0,6,6,2
54,0,8,8,3
46,2,15,17,6
27,2,19,23,4
30,2,13,16,3
28,1,22,24,2
35,2,14,18,4
18,8,24,37,19
38,3,20,24,6
36,12,18,36,5
22,19,32,60,4
33,1,20,21,3
44,0,15,16,2
42,1,17,19,6
20,7,32,43,7
52,1,10,11,3
29,11,23,39,3
25,11,22,38,3
34,1,10,10,10
29,4,20,26,8
4,34,31,83,2
2,90,38,175,8
2,102,45,201,7
10,12,37,55,7
20,3,34,39,8
29,1,22,24,9
12,12,29,48,8
3,57,45,132,9
9,8,39,52,6
4,21,35,68,2
15,15,35,58,5
9,16,37,61,4
42,1,15,16,1
51,0,12,13,1
46,1,11,12,1
30,2,19,23,2
24,5,31,39,2
21,3,28,33,2
44,1,9,10,3
45,1,15,17,2
63,1,5,6,1
59,1,8,9,3
53,1,11,12,2
42,1,17,18,2
42,2,17,20,7
41,2,18,21,3
38,3,15,20,3
35,0,13,14,3
36,1,12,13,2
25,7,24,34,4
4,76,39,155,7
19,50,39,116,6
39,1,16,18,2
61,0,6,6,1
51,1,17,18,11
42,3,20,25,11
50,1,13,15,13
26,4,20,25,5
11,5,32,39,6
4,16,34,58,9
4,16,32,56,12
13,16,30,54,6
34,2,22,25,4
60,0,6,6,2
67,0,5,6,3
56,0,7,7,4
58,0,5,5,8
35,3,22,26,8
23,5,41,49,11
22,6,37,47,5
35,9,20,34,5
68,0,7,8,3
50,2,15,17,4
40,0,12,12,3
44,1,13,14,4
52,1,12,13,4
73,1,3,4,2
70,0,4,4,2
44,4,16,22,6
36,2,19,23,5
19,16,34,58,5
46,1,14,15,3
59,1,8,9,2
67,1,3,4,2
52,1,7,9,2
50,1,5,7,1
74,1,5,6,0
41,1,17,19,6
55,1,14,16,23
46,1,11,13,9
49,1,8,9,4
53,1,7,8,2
35,5,10,17,1
37,23,18,53,2
26,6,34,44,5
10,10,39,54,9
47,1,18,19,3
48,8,17,28,3
40,7,23,33,3
30,13,35,55,5
32,10,21,37,4
47,6,20,29,5
46,3,21,25,9
40,6,15,24,5
73,5,6,14,2
70,1,12,14,5
59,2,7,9,2
56,3,16,20,3
28,5,22,30,4
48,4,14,20,7
36,9,21,35,3
52,5,18,27,3
48,2,16,19,2
36,2,23,26,1
45,4,19,26,4
44,5,33,40,6
43,2,22,26,4
35,4,14,20,1
38,3,11,17,2
47,1,8,9,1
67,1,4,5,1
66,1,7,9,3
30,6,17,27,5
29,3,18,23,3
58,2,5,7,1
68,2,5,8,1
76,1,9,11,1
65,3,8,12,4
43,3,16,20,7
44,4,17,24,5
46,7,15,25,4
65,7,7,18,2
91,2,6,9,1
77,2,6,10,1
58,1,11,12,1
57,2,8,10,3
72,1,9,11,2
73,1,7,8,1
53,1,16,18,2
29,5,21,29,1
34,3,24,29,2
60,1,6,7,0
80,0,6,6,1
64,0,8,9,0
58,0,7,8,0
59,0,7,7,1
57,0,7,7,3
56,1,5,7,0
73,1,5,6,0
61,1,4,5,0
88,1,2,3,0
73,1,10,11,2
67,2,12,15,4
81,1,7,8,3
49,1,8,9,2
75,1,2,4,0
70,1,2,3,0
57,1,4,5,1
59,1,5,7,0
44,3,10,14,2
88,3,13,18,6
62,1,6,7,1
54,1,6,8,1
65,0,3,3,0
62,0,3,3,0
65,3,13,17,2
90,1,13,14,2
42,2,13,16,3
64,1,7,9,2
45,2,10,13,2
53,0,5,5,0
42,1,8,9,2
44,1,9,11,2
44,1,14,16,2
62,0,8,8,1
62,1,9,10,1
89,0,12,12,3
48,0,8,9,1
45,0,8,9,1
42,0,8,9,0
37,1,12,14,2
38,0,13,14,0
56,1,11,12,1
52,4,8,14,0
33,1,9,11,0
37,2,12,14,1
57,3,11,15,2
42,2,10,12,4
41,2,9,12,4
60,0,6,6,0
65,0,5,5,0
75,0,4,4,0
64,0,4,4,0
68,0,8,8,2
34,1,10,10,1
32,1,13,14,1
36,0,10,11,1
62,0,6,6,2
65,1,7,9,2
57,2,13,15,1
49,1,7,9,0
47,1,4,6,0
37,1,6,7,1
39,3,12,16,3
64,4,16,21,2
44,1,5,7,1
49,1,1,3,0
57,1,3,5,0
69,1,3,5,0
75,1,6,8,1
90,1,10,12,2
106,25,11,49,4
110,7,10,20,5
63,1,16,18,1
61,2,14,17,1
52,4,10,16,1
51,5,9,16,1
65,1,5,7,1
53,1,9,11,1
33,2,11,14,1
45,1,2,4,1
48,1,6,8,1
54,2,13,16,2
53,2,20,23,2
38,1,7,8,2
44,1,7,8,2
32,2,15,18,1
26,3,17,21,1
37,0,7,8,1
45,2,4,6,0
45,2,5,7,0
56,2,8,10,1
56,1,8,10,0
44,3,22,26,2
45,1,12,13,0
43,2,14,17,1
42,5,16,23,2
63,2,17,21,2
43,0,9,9,2
24,2,17,21,2
44,5,20,28,3
68,1,19,21,7
58,2,17,20,4
67,0,10,11,2
61,0,8,8,1
69,2,17,20,2
40,1,11,12,1
30,5,18,26,1
43,1,11,12,1
39,2,16,18,2
81,1,18,19,6
40,0,9,9,1
25,2,24,27,2
22,4,18,24,2
37,1,18,20,3
25,3,21,26,1
29,3,19,24,1
45,1,11,12,3
43,1,13,14,2
51,1,10,11,2
25,2,17,20,1
27,2,15,18,1
46,1,11,12,0
